,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,cnn,2015,53000,enforc,govinsle,polic,school,domest,preventgunviol,lost,stupid,toronto,feder,nail,color,discuss,nation,gastonsoutro,benjiv15,resid,davidhogg111,orioletweet,burn,msnbc,look,rahm,fight,🤤🤤🤤🤤,democrat,coffin,victim,"ear
drug",crime,incid,briaasmithh,momsdemand,judicialwatch,gun,violenc,sheriffclark,hope,dloesch,nra,"about

🇺🇸",,said,expectu,greenparti,gsu18,chicago
1,argument,npr,foster,2010,protect,action,pd,white,penc,mass,therealremyredd,atlblackstar,gang,rahmemanuel,cop,inact,didn…,uneduc,clergi,amend,control,shot,whatev,violent,yay,issu,guy,murder,black,law,chicago’,ago,woke,join,sales😊,soda,polit,activ,strong,platform,violenc,thought,nra,victim,gun,lost,e´m,"gun
shows
in
california

law
center
to
prevent
gun
viol",word,chicago
2,mountain,histori,ashbin,"

it’",partial,soonerbornbr,youth,pro,globemetro,chi…,agenc,gun viol,philadelphia,betsydevos,"
do",“friend”,danarohrabach,shot,america,crime,⁦govrauner⁩,chicagoviol,⁦wlsam890⁩,citi,type,right,school,a…,stagger,,violenc,davidhogg111,momsdemand,elect,contribut,control,disgust,expectm,protest,wonder,solut,taught,harleyrouda,gsu18,rahmemanuel,nra,chicago,gun,wellregul,rancherhil
3,ye,kayajon,focus,charliekirk11,polic,c0ldrink,leighanne2014,midterm,said,ice,,ballot,pushup,control,gungrabb,gunsens,congress,crow,jason,walkaway,bullet,bbcworld,victim,you’d,solv,also,demofuckuprat,care,“everi,number”,rmeme,america’,order,follow,nra,"ca48
firedana","
hireharley",prevent,spirit,speed,copi,johnkass,solut,chicago,gun,amen,"charlote
riots

keith
lamont
scott
had
a
twodecades
long
history
of
gun
violence

truthfe",✊🏿✊🏼✊🏽,"issues

coalition
to
stop
gun
viol",isra
4,firearm,texan,harm’,anti,pennridg,appropri,state,law,corrupt,born,economi,problem,kayajok,solution’,‘the,school,roadtochang,parent,murder,activ,stood,agew,lobbi,mouth,notifi,attend,lest,"
iowa
voteblue
lestweforget
bluewave2018
roadtochange
neveragain",socialist,rate,gun,commonsensegunlaw,pennridgesd,pennridgeh,futur,young,recommend,,infatu,charliekirk11,nra,chicago,follow,eric,wow,"gun
shows

law
center
to
prevent
gun
viol",walkaway,firedana,💪🏾,"‘son
of
sam’
laments


prays
for
his
victim"
5,cmon,momsdemand,address,jerk,democraci,fear,immelza,buckssda,repbrianfitz,scottwallacepa,stuff,founder,polic,scare,guard,care,rapist,sanctuari,citi,freedom,idc,survivor,feat,leighanne2014,organ,tinker,moin,never,gun,the…,courag,🕯️,support,standard,mater,alma,,nra,forget,charliekirk11,foxnew,patriot,chicago,theyoungpeoplewillwin,👏🏻👏🏻👏🏻,dirtbag,endfamilyfir,endgunviol,kid,roadtochang
6,nra,plan,safe,wish,citi,wont,walk,toronto,100,trump,djlangster,high,kid,nation,one,effort,stop,rememb,18,chart,gun,nig,nigger,law,scott,turn,perp,"like💙
marchforourl",patriot,laurenhogg,1stamend,pennridgehigh,pennridgehighschool,canadian,k1ngram3,women,jump,stand,young,adult,novemb,win,everi,,torontoshoot,"💗
neveragain",check,chicago,done,realdonaldtrump
7,faithfortoronto,topoli,faithgoldi,carri,ummm…,foxfeath,chukachukachoo,prevent,alyssamilano,hoosirish,understood,preach,correct,25,billoreilli,high,💙💙💙,kid,wa…,import,trigger,polici,vivid,alexking737,davidhogg111,power,citi,american,peopl,stupid,gun,joke,mouth,violenc,endviol,marchforourl,believ,beauti,stubborn,young,support,infatu,school,shirt,,👊🏽,huffpost,heroesinlif,chicago,faith
8,newsworthi,certain,unusu,support,ended…,we…,commit,dedic,marchforourl,thekidswillsaveu,ban,pictur,"sale
te…","taped

hollywood
pedophile
censorship
media
globalist
refugees
weapon",duct,youngdem,copolit,indivisiblefrr,browardbat,said,contribut,neighborhood,citi,activ,left,nra,problem,young,youv,protest,2a,reduc,info,surgeongener,epidem,gun,roadtochang,faithfortoronto,torymustgo,none,chicago,peopl,thought,violenc,kid,gtgtgt,boom,wth,done,awesom
9,dishonest,today,voic,complet,realjameswood,cdc,☠️,sewer,creep,liar,pennywis,research,affect…,controlrestrict,citizen,"

the",effect,porch,last,potenti,resid,nra,owner,amend,speech,threaten,reduc,toronto,flauja,gunsdown,perform,❤️❤️,crime,heard,gun,violenc,fund,brainwash,crimin,pennridgeh,law,ricklangel,dumb,believ,governor,great,job,stand,chicago,kudo
10,tha…,"weekend
do",hour,senseless,darkest,be…,clearli,interview,sheriffclark,"violence
fail",talk’,polic…,"topics
chicago",newsmaxtv,parent,us,rage,section,comment,anon,reserv,thr,crybabi,report,crowd,finish,patreon,monday,law,ricklangel,data,la…,futur,pictur,fight,children,nation,set,gener,song,standard,factual,incorrect,lost,,chicago,gun,violenc,blame,nra
11,mayor,nation,comment,arn,duncan,secretari,educ,did…,illumin,seen,give,suspend,promot…,anthonycumiacm,shoot,eminem,people…,children,creation,starv,god’,morgu,permit,jessesing,died…,divers,warm,generation…,domest,wellregul,horribl,often,christinecee001,rickross,cthagod,ericthomasbtc,dcohennew,sdownpencilsup,ever,democrat,fed,violenc,gun,never,pictur,citi,surrend,chicago,quiet,bail
12,standard,gunitmik,decad,mental,healthi,diet,regular…,adequ,look,signific,canadian,bill,dollar,protect,troll,foxandfriend,what,potu,fox,cop,’signific,tackl,rayblk,passion,shut,spike,address,address…,mileslunn,polysesouvi,fight,school,resign,leftist,chicago’,mayor,concern,strong…,frankpallon,travel,knife,crime,violenc,dont,blair,chicago,mother,polit,gun,lt3
13,’signific,invest,issu,onlinetrad,forexbrok,cover,"person
world",correct,"kind
mail","speach

peopl",trudeau,brutalit…,"
stand","they
","jaclyncorin
cal",liber,kept,tradit,tori,jordankstein,breed,control,proof,gunown,effort,folkscompar,perspect,90,earli,democrat,disarm,thebigotbash,virtual,reduc,creat,33000,change…,wtf,canadian,bill,concern,fightingmonarch,sineinjuria,american,blair,chicago,gun,bluewave2018,lame,follow
14,maaps766,cottingschool,call,children,gang,distract,row,3dprint,firearm,aappres…,advocaci,petermasiako,docsdemand,meganranney,washingtonpost,mauijonni,iburnsteel,ratansharda55,phillymayor,th…,hand,murder,"
unhumanright","
hrw",amnestyusa,"
hrc",border,men,mmfa,illeg,foxnew,john,violenc,help,curiou,registri,stand,charg,chicago,protest,give,senseless,gun,citizen,crbuff1992,msm,done,always✌🏽❣,lehighvalley,read
15,end,help,millennium,joeclair,airport,also,allegedli,fed,gsu18,yall,violenc,ontario,a…,aggress,promot,donat,educ,rep,billblair,duhwhich,dumbdumb,charliekirk11,film,2a,stop,curb,goe,walkaway,criminalsa…,restrict,milwauke,consid,toronto,,clown,famili,rahm,fire,control,nra,edmonton,gun,hypocrisi,familyfir,bravo,senjoniernst,keepgo,🙌☮️🙏🌎🌍🌏🖖☮️,chicago,govrickett
16,incred,donat,quiet,guilti,kkkirkkk,stand,rape,protect,pennridg,1985,peopl,senjoniernst,wanker,subtl,work,america,carri,chriscoxnra,ottaw,never,clap,main,mayor,defin,interven,blair,episod,young,,toronto,inspir,mitic,viktor,chiraq,murder,conscienc,joni,gun,nra,thank,ok,uurevem,👀👀bullshit,votethemallout,bs,patriot,effect,cdnpoli,thursdaythought,chicago
17,oakvil,law,teacher,charli,racist,announc,reform,here,shock,regard,curb,gang,govern,violenc,stop,tonight,strictest,filthi,someth,prevent,hand,nra,kirk,ontario,jeez,fordnat,pennridg,faithgoldi,"mayor

yeah",disgust,solv,peopl,complicit,blair,restrict,senjoniernst,chicago,young,saw,toronto,💗💗,roadtochang,bs,bde,walkaway,"chicago

gregoryclay",pennridge225,shut,gun,doug
18,loss,clock,alhan,regard,chicago’,blatantli,restrict,level,fed,votethemallout,wave,curb,afraid,reduc,teacher,doug,momsdemand,alaska,hope,there,polit,politician,violenc,polic,arm,legisl,victim,princess,babygirl,fordnat,law,ford,crime,nra,give,end,janefinch,jfc,,toronto,newsmax,kittykatttt71,govrickett,sigh,gun,thedennisdavi,senjoniernst,chicago,iowa,lie
19,paattorneygen,four,student,outrag,illeg,mikebrown,prevent,violent,car,canada,ga…,knowyou,democrat,safeti,anoth,keep,bs,itistolaugh,unpresid,nra,put,reduc,curb,ontario,promot,violenc,ernst,ford,momsdemand,restrict,fordnat,forgetnot,crimin,townhal,pleas,ago,,doofu,law,toronto,senjoniernst,lie,chicago,gun,neveragain,"votethemout
nonramoney",yessss👏👏👏,😠😠😠😠,endthegop2018,liar
20,everytown,state,t…,crimin,harm,joke,worth,control,invest,cbctoronto,citi,toronto,fordnat,issu,parkland,leader,gsu18,canada,complet,nra,bullshit,street,million,kid,law,randcorpor,senjoniernst,rallies😂,mean,chebrusard,"times
12",i’d,proud,5wordwishforthefutur,ford,lie,,shoot,realcandaceo,truthtellingsimpl,speak,demograph,gun,chicago,read,stand,crewcrew,parklandstrong,👇🏻,outnumb
21,later,rememb,gollli,4️⃣,billoreilli,she,crazi,problem,ban,issu,congress,reelect,ryanforflag,sshawfl,novemb,lose,racist,citi,statement,marcorubio,heart,bless,address,charliekirk11,cop,toronto,senjoniernst,davidhogg111,michaelskolnik,yannawilliams18,🐂💩,🐂💩amp,levin,logic,rest,fordnat,em,voic,lolgop,ontario,control,nra,law,thank,12,chicago,courag,govrickett,❤️,lie
22,premier,forgot,cfnoffic,truthcanada,kill,ernst,prevent,she’,student,toronto,can’t,victim,protect,snarki,legal,law,care,prayer,nra,jasonnark,willbunch,aclu,violenc,lose,um,ballet,zippi,fight,enforc,brighten,juliegehring1,expectu,spaaaac,foooorc,gsu18,chicago,notrohnad,,tonight,jenkeesmaat,see,capit,excel,iampopthenarrat,speech,realcandaceo,richmond,gun,amaz,btl
23,fordnat,youth,th…,mike,gop,firearm,gang,part,promot,conserv,protect,violenc,ask,ontario,data,minitru,truthdofo,toronto,cdcgov,citizen,booker,murphi,thequart,stillgray,million,end,honest,innoc,awar,leighanne2014,control,25m,keep,realcandaceo,portlandpolic,tedwheel,discuss,name,charliekirk11,cray,law,vote,gun,kylekashuv,nra,chicago,whatdemsaredo,blackexcel,votevotevotevotevotevotevotevotevotevotevotevotevotevotevotevotevotevotevotevotevotevotevote…,davidhogg111
24,ban,public,thisweekabc,hasnt,fox26houston,sallymacfox26,tax,control,reduc,davidhogg111,help,fredguttenberg,joniernst,rahmemanuel,mayor,usa,curb,justic,ontario,strictest,leader,young,fwiw,whiskeycongress,lost,law,wake,commun,toronto,,liar,gun,philli,polic,democrat,happen,nra,lol,votegunreform,sad,chicago,shame,scumbag,sens,whitehous,neveragain,realdonaldtrump,vp,power,lie
25,stem,ontario,littl,citi,healthcar,bother,licens,convers,racism,polic,wast,allenskillicorn,"

wa",realcandaceo,repeal,25,idiot,gunsafeti,⁦randcorporation⁩,cash,amend,bill,prone,nippl,murder,specif,diamondandsilk,unaccept,zone,nonsens,"resource
gun",,prevent,mattgallowaycbc,america,🙄🙄,research,law,adminestratiom,"🌥️　　

🏢😳😖😞🏟️
🏛️😕😮😓🏨
⛲😖😞🙁🏟️
⛲🤔😫😓🏬
🏗️😐😖😞🌴
🏦😑😲😢🏟️
🏟️😵😑😓🏬
🏛️😥🙄😢🏗️
🏛️😮😧😠🏛️
🏦😕😣😡🏗️
allow",thank,nra,chicago,disast,beauti,🌊vote💙🙏🌊vot,🤨😒,theyoungpeoplewillwin,f—k,fordnat
26,violenc,canadian,tragedi,die,shoot,prison,zone,gsu18,chief,ban,legal,ad,pitbul,student,noth,governor,law,sanctuari,fix,problem,nra,mine,talk,forget,the…,savejersey,cant,tough,victim,sendeanhel,aftermath,third,dealer,hash,freedommo,chicago,fordnat,youth,solut,issu,resist,👍🏻,gun,toronto,wait,"👏👏👏👏👏👏👏👏👏👏🇺🇸🇺🇸🇺🇸🇺🇸🗽🗽🗽🗽🗽
momsdemand",waynedupreeshow,power,realcandaceo,
27,shot,late,attitud,mass,affair,supremacist,fuckwhit,firearm,quick,recent,strict,violenc,young,us,huge,terribl,endgunviol,guncontrolnow,kill,control,shoot,ammo,🙏🏾,blame,polic,law,canpoli,"a

uspoli",yo,said,chang,momsdemand,nra,nhlblackhawk,loucanelli,well,sick,list,"amen
w",doesnt,,gun,everywher,it’,❤️,chicago,dmv,cmon,expectu,alreadi
28,fordnat,violenc,senat,swat,,poverti,aspir,polic,prevent,momsdemand,democrat,math,kid,tonelocnv,jkline34,waveintern,plagu,past,vote,aalayaheastmond,lost,politician,statement,blacklivesmatt,justice4mikebrown,72,kudo,joniernst,disaster‼️,"you

walkaway
walkawaycampaign
walkawaynow
walkawayfromdemocrats
walkawaymovement…",mom,guy,potu,nra,pay,man,waveedfund,invest,adlnat,shoot,gun,wake,aliv,😁😁😁😁😁,notonemor,secondladi,power,onpoli,govrickett,chicago
