,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,crime,satir,toronto,curiou,victim,death,die,end,dloesch,sooooooo,thekerryomalley,drtzar,jakedthedog,rebeccadamonnyc,aug,teenag,theonion,amarch4ourl,nightmar,trauma,knkw,yungneocon,inde,atotalloser2,sensationalism…,tragedi,forget,keep,exactli,aurora,dummi,trend❗️cut,williamleg,far,epidem,famili,stop,control,,hahahahaha,heartbreak,senat,nra,beauti,gun,👌👏👏👏👏👏👏,nora,evolut,spot,ye
1,newspap,around,heartbreak,muslim,jentrifi,common,aynrandpaulryan,hollywood,bropair,cgccontrol,sens,victim,senseless,ban,import,lose,davidhogg111,instigator75,cultur,shannonrwatt,ye,respons,kid,proven,commun,public,children,speak,ac…,stop,six,solut,crisi,account,everytown,law,hermsenor2,control,“promoting”,endors,novemb,mentalhealth,voteforyourl,trauma,donat,omg,america,nra,gun,toomani
2,oppos,diaper,nugent,data,black,upcom,cop,solut,horribl,owner,movement,chrisloesch,goober,shit,us,credibl,interact,vox,pressur,dumptrump,chicago,dloesch,curb,revolutionari,institution,destroy,hook,address,love,lunchnotfreeman,cheecheebeck,flipva02blu,voteblue2018,stop,ope,,shoot,truli,tragedi,gun,impli,america,control,👇🏻,beauti,maga,periodt,join,alyssa,sad
3,ubiqu,inevit,aurora,centuri,16,year,shannonrwatt,consid,masculin,curb,degre,epidem,waff48,target,weird,tell,reduc,"showering
so",heartbreak,disgrac,priority1,aw,goe,number,didnt,altar,sacrif,perpetr,everytown,mass,school,massshoot,nraisaterroristorgan,"
commonsensegunlawsnow",davidhogg111,marcorubio,vi…,kill,senatemajldr,shoot,novemb,win,nra,💔🤙🏽,lost,sad,,horribl,dloesch,gun
4,data,of…,scienc,gather,endur,repulseican,this🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊,defin,dadonfigueroa,harlemj11,strong,stand,fyi,t…,gunsens,bettercontrol,gotta,cc,polic,reppoliquin,congressman,coauthor,propos,fuckin,feed,stuff,senrobportman,end,florida,healthcar,guy,nra,npr,briaasmithh,weird,togeth,,toronto,davidhogg111,young,shake,word,god,unreal,momsdemandact,horribl,darthviden,gun,stop,america
5,repteddeutch,left,usa,kill,"napoleonlegal
👇👇👇",baileyforag,send,control,rid,steve,prevent,bei…,treason,father,⬇️,trumpkin,throw,traumat,immedi,end,nomoregunviol,regul,map,stop,suppos,rest,speakerryan,cont,,scare,health,ass,bullet,toronto,wo,polic,hypocrici,murdercal,support,gun,american,obstruct,gotta,sooo,wow,omg,pleasecomeback,honorthemwithact,horribl,nra
6,1pulse4america,davism0lli,jaxonomara,absolut,ali,hold,word,chicago,honor,univers,women’,shoot,t…,you’v,georgecapen,mass…,thinker,shannonrwatt,liber,judicialwatch,tomfitton,must,disney,famili,inspir,togeth,solv,commun,democraci,spite,prevent,studi,momsdemand,npr,circl,law,effect,ar,tragic,noth,anymor,,american,support,violenc,funni,gun,neveragain,stopkavanaugh,horribl
7,hypocrit,davidhogg111,isnt,boot,hell,attent,countri,member,ralli,yea,hope,ali,relev,commun,andrewcuomo,confirm,“gun,violence”,“people”,murder,right,imagin,issu,violenc,lmao,safe,recogn,student,greenwood,flesh,statist,chicago,30,dealer,georgecapen,"mirror

scari",vote,gun,crisi,gay,tomorrow,repmikecoffman,,"okay

itsthegun",nra,dloesch,hahahahahaha,fridaymotiv,end,guncontrolnow
8,must,crimin,dc,solut,vote,carancianthoni,reach,davidhogg111,"
votedemocrat",atta,"david

gunreformnow",law,depre…,notic,a35362,affect,yet,cnn,senseless,alyssa,mitchsav,us,prayer,fridayfeel,death,win❤️🤣👏,mindlessmenaceofviol,student,,neveragain,nrarussia,irrelev,someth,compet,"
fridayread",amen,preach,grabber,freedomschool,issu,end,he,young,nra,forget,yeah,lolololol,😂😂😂😂,bringdownthenra,stop
9,flint,h…,ope,southsid,"bathroom
",done,neveragain,msdstrong,msnbc,msbellow,usa,student,prevent,dictat,death,2a,does…,juri,madam,organ,hear,anniversari,epidem,colorado,control,nra,omgwhen,senseless,doesn’t,heartbreak,disarmh,inde,gunreformnow,problem,nbcnew,victim,sad,sir,david,davidhogg111,,democrat,gun,it’,👇🏽👏🏼👏🏼👏🏼❤️,🙌🏾🙌🏾🙌🏾,jeffekahn,nonramoney,♥️♥️♥️,thumb
